epoch,time,test-score,train-score,loss,q_value,epsilon
0,1760.0999050130001,-0.028477630172545426,-0.05531609855621215,0.0011325940460943512,49.44811234261195,0.1
1,3521.7683019649994,-0.01754943222425157,-0.044212736952637104,0.0011070249596976539,48.81864703324636,0.1
2,5262.9092431849995,-0.05693199789140749,-0.059021210173537786,0.0012106950089718353,49.514005592568715,0.1
3,7023.502215832,-0.0292169848071679,-0.04535659028954542,0.0013436986834169137,52.1759711022377,0.1
4,8758.328461879,-0.01900618273414243,-0.04467277813166422,0.0011601491498655799,50.3085096645991,0.1
