epoch,time,test-score,train-score,loss,q_value,epsilon
0,998.488261374001,0.0,-0.06273729886096546,0.0014389686543704342,49.46055963687897,0.1
1,1991.4232080580005,-0.010112009956440573,-0.0554569493244467,0.0011922313858266872,48.341944494692484,0.1
2,2962.187309803001,0.0,-0.07187797205355183,0.0013882937041146692,50.22600924574534,0.1
3,3936.164132397,0.0,-0.043748077653742466,0.0013159232909787568,49.05323027413686,0.1
4,4908.211882050997,0.0,-0.059385665529010236,0.0013332696813988104,52.86746543909709,0.1
5,5868.915999050001,0.0,-0.0466964088194086,0.0012775109164373923,49.3296453309377,0.1
6,6841.437841739997,0.0,-0.07557420257113658,0.0015009235680241274,51.64909591236115,0.1
7,7807.843568246997,0.0,-0.05621227364185111,0.0011525709668993116,48.11841610927582,0.1
8,8768.931571097997,0.0,-0.03857534246575343,0.0013495191413930554,49.643206923739115,0.1
9,9737.211374823,0.007043493572812115,-0.06563769001329643,0.0014251984726494163,52.76643436336517,0.1
10,10704.885923423,0.0,-0.031509150700600515,0.0014110724586326193,49.64275429668427,0.1
