epoch,time,test-score,train-score,loss,q_value,epsilon
0,1020.7997157950012,-0.16843570558552287,-0.04569676878932079,0.0013673275038791407,52.80602955563863,0.1
1,2029.442642506001,0.010258163788681825,-0.061853475043914904,0.0014236787863823599,49.457301350720726,0.1
2,3028.314075897004,0.0,-0.022518960497465944,0.0012492781707027054,50.49358787555695,0.1
3,4028.0769278900043,-0.0720074812967581,-0.06993447580645161,0.0015189560348631255,53.530980960528055,0.1
4,5028.946436274004,-0.0036784991723376862,-0.039584478204605485,0.0013782702207443915,51.30882740834554,0.1
5,6014.985494853005,0.0,-0.042561604687528086,0.0014755699691169932,51.97236226590474,0.1
6,7004.0468021090055,-0.07276178424549193,-0.03524118970257436,0.0015178287285503823,52.50928213202159,0.1
7,7993.476500391,-0.00718974679587371,-0.049448115798238934,0.0015088148430590438,52.9477516664505,0.1
8,8978.565489281005,-0.1800962583449775,-0.04478573729996778,0.0014073160575993754,51.30331442921956,0.1
9,9967.796163405,0.0,-0.05293584019637489,0.001593374548082295,51.315504777208965,0.1
10,10953.635587028002,-0.006516780710329097,-0.04111288321814638,0.001300059428802801,50.66953010323842,0.1
